app_id,app_name,app_size,app_runtime,app_task_count,max_in_ready_queue,max_in_todo_queue,ref_arrival_time,app_diff_arrival_time,app_lifetime,app_api_min,app_api_max,app_api_mean,cpu1_todo_queue,cpu2_todo_queue,cpu3_todo_queue,cpu4_todo_queue,cpu5_todo_queue,cpu6_todo_queue,cpu7_todo_queue,gpu1_todo_queue,cpu1,cpu2,cpu3,cpu4,cpu5,cpu6,cpu7,gpu1,API_INSTRUCTIONS,API_CACHE_REFERENCES,API_CACHE_MISSES,API_BRANCH_MISSES,API_DTLB_READ_MISS,API_ITLB_READ_MISS,API_L1D_READ_ACCESS,API_L1D_READ_MISS,API_L1I_READ_MISS,APP_INSTRUCTIONS,APP_CACHE_REFERENCES,APP_CACHE_MISSES,APP_BRANCH_MISSES,APP_DTLB_READ_MISS,APP_ITLB_READ_MISS,APP_L1D_READ_ACCESS,APP_L1D_READ_MISS,APP_L1I_READ_MISS
0,track_nb-jetson,277448,11960590144,24580,1024,149,17111395679696704,-52135456,11977067424,32896,32328800,72231,149,146,141,140,140,147,139,0,0.207734,0.063898,0.062345,0.061377,0.059869,0.061488,0.064416,0.000000,2404153465,469641398,6194800,5630207,1833073,33272,453973449,6430625,10356482,3382462778,518670119,33413746,3749733,7462269,25770,545346869,37256125,2930418
9,pulse_doppler-nb-jetson,17456,12305696800,512,13,19,17111395901554272,221857568,12335970112,5088,1827616,60951,17,19,13,13,15,12,12,0,0.207734,0.063898,0.062345,0.061377,0.059869,0.061488,0.064416,0.000000,5639408,1263299,49936,55090,32814,1156,1028016,45577,206767,16736125,6257221,195649,63383,104727,2483,4921830,163799,351619
11,pulse_doppler-nb-jetson,17456,11926499552,512,6,19,17111396241014656,339460384,12008100864,5184,1462240,56265,18,18,18,19,19,18,18,0,0.207734,0.063898,0.062345,0.061377,0.059869,0.061488,0.064416,0.000000,5945189,1274192,48100,52307,34449,1123,992739,41995,226704,3076129,4963831,154420,77195,346277,3670,7820940,152055,48053
1,track_nb-jetson,277448,12420206976,24580,1024,147,17111395824951456,-416063200,12443965440,33152,19452832,59305,147,141,147,142,141,141,141,0,0.207734,0.063898,0.062345,0.061377,0.059869,0.061488,0.064416,0.000000,2399379043,469455988,6467872,5399993,1808091,31867,461038361,6317191,10484685,3388916360,505299149,37370714,3666295,6966663,14170,518804447,34127729,3345907
10,pulse_doppler-nb-jetson,17456,12176110432,512,15,18,17111396071276736,246325280,12237263712,5472,17408448,115647,18,10,10,9,9,17,10,0,0.207734,0.063898,0.062345,0.061377,0.059869,0.061488,0.064416,0.000000,5076051,1020425,45750,56830,36031,1336,1167882,49751,217560,1657772,2329531,222006,81986,345152,3736,8240144,192643,0
3,track_nb-jetson,277448,12243570080,24580,614,152,17111396117265344,45988608,12326747392,32864,20516928,55067,152,99,136,99,98,92,90,0,0.207734,0.063898,0.062345,0.061377,0.059869,0.061488,0.064416,0.000000,2393958766,472563817,5844948,5473666,1720193,30886,462519513,6012762,9831471,3510108261,516254323,34573491,3954717,7500633,22171,530440107,34849402,3385355
2,track_nb-jetson,277448,12497865792,24580,934,147,17111395970215008,-147050336,12563658208,32960,18893088,54234,147,134,132,133,132,133,130,0,0.207734,0.063898,0.062345,0.061377,0.059869,0.061488,0.064416,0.000000,2383957448,464564043,6413895,5517222,1743767,30118,459660914,6252826,9997624,3554492096,500555565,36415655,3591090,5325585,26670,514585918,31543338,3681122
4,track_nb-jetson,277448,12461628992,24580,1024,149,17111396260756064,290541056,12543753536,33024,19925152,55323,149,140,144,141,141,140,139,0,0.207734,0.063898,0.062345,0.061377,0.059869,0.061488,0.064416,0.000000,2441933638,484210726,6655339,5566073,1725258,30258,439095825,6195524,9777387,3404240725,501401764,33571226,3757252,5113834,34790,552481764,38476479,2654597
4,temporal_mitigation-noapi-jetson,68848,1632864,0,0,0,17111410996430624,0,18213344,0,0,0,0,0,0,0,0,0,0,0,0.198220,0.061076,0.057820,0.061888,0.057379,0.056839,0.060816,0.000000,0,0,0,0,0,0,0,0,0,2262,549014,3676,4975,1013,433,548351,0,0
12,radar_correlator-jetson,12912,18269344,3,1,1,17111411009386688,12956064,36843456,62144,143712,89941,1,0,1,0,0,1,0,0,0.198220,0.061076,0.057820,0.061888,0.057379,0.056839,0.060816,0.000000,704,48,1001,1738,380,81,61252,1286,885,1569399,2753147,6951,30998,10771,605,2259402,0,0
