app_id,app_name,app_size,app_runtime,app_task_count,max_in_ready_queue,max_in_todo_queue,ref_arrival_time,app_diff_arrival_time,app_lifetime,app_api_min,app_api_max,app_api_mean,cpu1_todo_queue,cpu2_todo_queue,cpu3_todo_queue,fft1_todo_queue,fft2_todo_queue,gemm1_todo_queue,gemm2_todo_queue,zip1_todo_queue,cpu1,cpu2,cpu3,fft1,fft2,gemm1,gemm2,zip1,API_INSTRUCTIONS,API_CACHE_REFERENCES,API_CACHE_MISSES,API_BRANCH_MISSES,API_DTLB_READ_MISS,API_ITLB_READ_MISS,API_L1D_READ_ACCESS,API_L1D_READ_MISS,API_L1I_READ_MISS,APP_INSTRUCTIONS,APP_CACHE_REFERENCES,APP_CACHE_MISSES,APP_BRANCH_MISSES,APP_DTLB_READ_MISS,APP_ITLB_READ_MISS,APP_L1D_READ_ACCESS,APP_L1D_READ_MISS,APP_L1I_READ_MISS
26,radar_correlator-noapi-aarch64,13080,22108429,0,0,0,549620992560528,87614445,108115142,0,0,0,0,0,0,0,0,0,0,0,0.079460,0.071316,0.115443,0.045218,0.041293,0.000140,0.000000,0.052777,0,0,0,0,0,0,0,0,0,485112,404692,1918,4025,119,115,241285,0,0
15,pulse_doppler-nb-aarch64,17496,578105333,512,39,26,549620510883020,-481677508,633064334,11781,9027932,159507,26,22,24,25,20,0,0,0,0.079460,0.071316,0.115443,0.045218,0.041293,0.000140,0.000000,0.052777,2693098,928760,23466,59407,1346,530,1157265,29076,32265,11915524,3514928,30702,80395,3913,2807,9561366,117678,107014
27,radar_correlator-noapi-aarch64,13080,19179316,0,0,0,549621177471523,666588503,76472831,0,0,0,0,0,0,0,0,0,0,0,0.079460,0.071316,0.115443,0.045218,0.041293,0.000140,0.000000,0.052777,0,0,0,0,0,0,0,0,0,1091074,412714,1840,4956,132,120,0,0,0
16,pulse_doppler-nb-aarch64,17496,620199478,512,16,26,549620617493672,-559977851,661640369,11681,8116261,100662,24,21,26,22,21,0,0,0,0.079460,0.071316,0.115443,0.045218,0.041293,0.000140,0.000000,0.052777,3456731,1021846,26259,51266,1187,569,846079,30173,34735,10627698,5507507,46184,80902,1008,1528,8432276,107396,77234
17,pulse_doppler-nb-aarch64,17496,731208080,512,2,26,549620724126156,106632484,793282503,11581,7939964,245514,26,26,26,25,25,0,0,0,0.079460,0.071316,0.115443,0.045218,0.041293,0.000140,0.000000,0.052777,4227736,1222552,23048,46784,930,425,642411,27051,40786,13464593,6868801,108262,83126,2614,2060,5703942,41436,60228
18,pulse_doppler-nb-aarch64,17496,672395904,512,2,26,549620832086153,107959997,762953863,11581,7825232,235938,25,26,21,26,25,0,0,0,0.079460,0.071316,0.115443,0.045218,0.041293,0.000140,0.000000,0.052777,4305549,1179992,20364,45538,1082,482,631956,25276,39408,13872761,3363280,30952,65528,2210,2221,9925318,113114,111810
20,wifi-tx-nb-aarch64,62288,909486203,100,9,2,549620746504722,-85581431,965958136,12611,238204,20037,2,2,2,2,2,0,0,0,0.079460,0.071316,0.115443,0.045218,0.041293,0.000140,0.000000,0.052777,817039,235742,3601,8549,259,109,171075,4659,6653,55837560,20871132,20375,406050,1391,1538,24239756,21878,102939
28,SAR-noapi-aarch64,21984,4723088498,0,0,0,549620607597193,-138907529,4765109957,0,0,0,0,0,0,0,0,0,0,0,0.079460,0.071316,0.115443,0.045218,0.041293,0.000140,0.000000,0.052777,0,0,0,0,0,0,0,0,0,381703546,139034646,268751,1508895,18978,2477,142608226,252722,790734
22,SAR_nb-aarch64,18024,4708192240,2305,468,128,549620682094237,74497044,4778268121,8201,334483,34418,128,104,106,102,100,0,0,99,0.079460,0.071316,0.115443,0.045218,0.041293,0.000140,0.000000,0.052777,30433566,10459377,113039,204944,5113,1149,10474465,124704,126816,359790805,128596292,227478,1137633,7855,2394,131516058,308122,1291276
30,SAR-noapi-aarch64,21984,4877072143,0,0,0,549620810977424,128883187,4969205749,0,0,0,0,0,0,0,0,0,0,0,0.079460,0.071316,0.115443,0.045218,0.041293,0.000140,0.000000,0.052777,0,0,0,0,0,0,0,0,0,361885268,138654606,256344,1585693,13031,1580,148566637,292078,716711
