app_id,app_name,app_size,app_runtime,app_task_count,max_in_ready_queue,max_in_todo_queue,ref_arrival_time,app_diff_arrival_time,app_lifetime,app_api_min,app_api_max,app_api_mean,cpu1_todo_queue,cpu2_todo_queue,cpu3_todo_queue,cpu4_todo_queue,cpu5_todo_queue,cpu6_todo_queue,cpu7_todo_queue,gpu1_todo_queue,cpu1,cpu2,cpu3,cpu4,cpu5,cpu6,cpu7,gpu1,API_INSTRUCTIONS,API_CACHE_REFERENCES,API_CACHE_MISSES,API_BRANCH_MISSES,API_DTLB_READ_MISS,API_ITLB_READ_MISS,API_L1D_READ_ACCESS,API_L1D_READ_MISS,API_L1I_READ_MISS,APP_INSTRUCTIONS,APP_CACHE_REFERENCES,APP_CACHE_MISSES,APP_BRANCH_MISSES,APP_DTLB_READ_MISS,APP_ITLB_READ_MISS,APP_L1D_READ_ACCESS,APP_L1D_READ_MISS,APP_L1I_READ_MISS
8,pulse_doppler-nb-jetson,17456,14739810496,512,14,17,17111260661783200,38963072,14776637216,5472,7844896,198152,15,8,13,14,8,7,4,17,0.055645,0.050215,0.048411,0.049114,0.046837,0.047136,0.049554,0.403147,11953684,2983730,399874,134835,169978,13733,2638139,391660,925844,14724372,8024898,186730,59163,137101,7587,8443321,184238,220316
11,pulse_doppler-nb-jetson,17456,14203200800,512,13,16,17111261170951552,509168352,14290981312,5344,8265312,171973,15,15,16,9,9,9,8,15,0.055645,0.050215,0.048411,0.049114,0.046837,0.047136,0.049554,0.403147,9777921,2759534,434927,136374,227871,10229,3791659,489456,855892,14333903,3738497,87359,46434,180273,5751,9013007,220415,287965
10,pulse_doppler-nb-jetson,17456,14489827968,512,29,17,17111261002022656,-168928896,14502176832,5344,7768896,176599,15,17,12,11,14,10,10,16,0.055645,0.050215,0.048411,0.049114,0.046837,0.047136,0.049554,0.403147,12681157,2928842,395176,149638,220308,17964,3079779,455677,1031851,17806625,6191449,168680,45646,208513,5140,7065631,183024,268057
9,pulse_doppler-nb-jetson,17456,14665938144,512,9,16,17111260831516896,-170505760,14691721120,5600,11490016,197471,16,16,10,13,10,10,10,16,0.055645,0.050215,0.048411,0.049114,0.046837,0.047136,0.049554,0.403147,8383699,2928741,462124,157206,248044,10224,3675472,389777,739886,9585289,7437864,205044,71926,279107,4905,6945841,47083,158597
1,track_nb-jetson,277448,14812112384,24580,844,129,17111260768090272,-63426624,14839364160,33280,19665600,77709,111,101,101,101,101,103,101,129,0.055645,0.050215,0.048411,0.049114,0.046837,0.047136,0.049554,0.403147,2269101685,474720817,12078457,7532233,6984003,357877,459787294,12340992,30887954,3463813475,553759278,36366794,3655646,6481531,29964,525786461,34791897,3564408
3,track_nb-jetson,277448,14515828320,24580,1024,130,17111261058624416,290534144,14603264864,33120,20059968,72975,130,115,115,116,115,118,113,129,0.055645,0.050215,0.048411,0.049114,0.046837,0.047136,0.049554,0.403147,2282254861,475732176,12892863,7413670,6963899,392251,459020828,12002158,31260108,3480656973,550902479,35975349,3411076,6476966,21511,544106545,33225060,2454428
2,track_nb-jetson,277448,15056152096,24580,936,131,17111260913359008,-145265408,15065877408,33120,20848288,68543,124,115,115,115,118,118,113,131,0.055645,0.050215,0.048411,0.049114,0.046837,0.047136,0.049554,0.403147,2289404540,479101393,12347547,7385025,6673536,358046,455992704,11732332,32327456,3667168148,547006501,33609588,3896896,7970107,20275,541311644,35462090,3051925
4,track_nb-jetson,277448,14764350560,24580,1024,131,17111261204746720,291387712,14839675424,33280,20320352,66916,129,129,130,129,127,126,127,131,0.055645,0.050215,0.048411,0.049114,0.046837,0.047136,0.049554,0.403147,2256513904,473467969,11755549,7401098,7025569,346945,464124522,11876689,30978126,3591767582,538917068,35454259,3681770,6853463,28447,523673349,35215920,2686689
4,temporal_mitigation-noapi-jetson,68848,1372128,0,0,0,17111277917217920,0,18047648,0,0,0,0,0,0,0,0,0,0,0,0.055441,0.048935,0.047798,0.048785,0.046409,0.047083,0.048474,0.380352,0,0,0,0,0,0,0,0,0,1725299,546054,3160,2611,921,710,0,0,0
12,radar_correlator-jetson,12912,10740640,3,1,1,17111277944747232,27529312,28752288,81248,164928,113333,0,1,0,0,0,0,0,0,0.055441,0.048935,0.047798,0.048785,0.046409,0.047083,0.048474,0.380352,67204,20277,1192,1719,291,97,39110,671,0,2268236,878596,6069,10438,10774,806,162201,0,0
